hidden_layer_size,activation,solver,learning_rate,num_of_epochs,batch_size,validation_split,training_time (ms)
100,identity,sgd,0.01,20,32,0.2,753.730712890625
100,identity,sgd,0.1,20,32,0.2,752.9150390625
100,identity,adam,0.001,20,32,0.2,852.5146484375
100,identity,adam,0.01,20,32,0.2,878.892822265625
100,identity,adam,0.1,20,32,0.2,852.834716796875
100,sigmoid,sgd,0.001,20,32,0.2,833.49560546875
100,sigmoid,sgd,0.01,20,32,0.2,857.099853515625
100,sigmoid,sgd,0.1,20,32,0.2,767.3369140625
100,sigmoid,adam,0.001,20,32,0.2,843.35595703125
100,sigmoid,adam,0.01,20,32,0.2,1219.59814453125
100,sigmoid,adam,0.1,20,32,0.2,866.191162109375
100,tanh,sgd,0.001,20,32,0.2,768.002197265625
100,tanh,sgd,0.01,20,32,0.2,780.955322265625
100,tanh,sgd,0.1,20,32,0.2,759.280029296875
100,tanh,adam,0.001,20,32,0.2,881.0830078125
100,tanh,adam,0.01,20,32,0.2,880.662109375
100,tanh,adam,0.1,20,32,0.2,845.336181640625
100,relu,sgd,0.001,20,32,0.2,1267.982421875
100,relu,sgd,0.01,20,32,0.2,871.017578125
100,relu,sgd,0.1,20,32,0.2,808.86083984375
100,relu,adam,0.001,20,32,0.2,913.562744140625
100,relu,adam,0.01,20,32,0.2,849.80029296875
100,relu,adam,0.1,20,32,0.2,907.523193359375
120,identity,sgd,0.001,20,32,0.2,802.44921875
120,identity,sgd,0.01,20,32,0.2,820.400146484375
120,identity,sgd,0.1,20,32,0.2,780.8310546875
120,identity,adam,0.001,20,32,0.2,842.393310546875
120,identity,adam,0.01,20,32,0.2,856.318359375
120,identity,adam,0.1,20,32,0.2,901.150390625
120,sigmoid,sgd,0.001,20,32,0.2,814.928955078125
120,sigmoid,sgd,0.01,20,32,0.2,787.3564453125
120,sigmoid,sgd,0.1,20,32,0.2,775.84912109375
120,sigmoid,adam,0.001,20,32,0.2,841.2138671875
120,sigmoid,adam,0.01,20,32,0.2,835.7353515625
120,sigmoid,adam,0.1,20,32,0.2,851.916259765625
120,tanh,sgd,0.001,20,32,0.2,1283.901123046875
120,tanh,sgd,0.01,20,32,0.2,810.23779296875
120,tanh,sgd,0.1,20,32,0.2,816.212646484375
120,tanh,adam,0.001,20,32,0.2,952.718017578125
120,tanh,adam,0.01,20,32,0.2,873.228515625
120,tanh,adam,0.1,20,32,0.2,947.7587890625
120,relu,sgd,0.001,20,32,0.2,821.15234375
120,relu,sgd,0.01,20,32,0.2,803.489501953125
120,relu,sgd,0.1,20,32,0.2,793.337158203125
120,relu,adam,0.001,20,32,0.2,938.923095703125
120,relu,adam,0.01,20,32,0.2,1279.590576171875
120,relu,adam,0.1,20,32,0.2,961.166015625
140,identity,sgd,0.001,20,32,0.2,787.44287109375
140,identity,sgd,0.01,20,32,0.2,817.71337890625
140,identity,sgd,0.1,20,32,0.2,810.65234375
140,identity,adam,0.001,20,32,0.2,850.36767578125
140,identity,adam,0.01,20,32,0.2,917.43994140625
140,identity,adam,0.1,20,32,0.2,857.65380859375
140,sigmoid,sgd,0.001,20,32,0.2,808.5908203125
140,sigmoid,sgd,0.01,20,32,0.2,798.250244140625
140,sigmoid,sgd,0.1,20,32,0.2,825.3466796875
140,sigmoid,adam,0.001,20,32,0.2,879.37890625
140,sigmoid,adam,0.01,20,32,0.2,858.90771484375
140,sigmoid,adam,0.1,20,32,0.2,888.98974609375
140,tanh,sgd,0.001,20,32,0.2,787.29638671875
140,tanh,sgd,0.01,20,32,0.2,813.14697265625
140,tanh,sgd,0.1,20,32,0.2,786.6142578125
140,tanh,adam,0.001,20,32,0.2,857.6416015625
140,tanh,adam,0.01,20,32,0.2,940.635009765625
140,tanh,adam,0.1,20,32,0.2,884.21484375
140,relu,sgd,0.001,20,32,0.2,953.611328125
140,relu,sgd,0.01,20,32,0.2,828.5009765625
140,relu,sgd,0.1,20,32,0.2,738.8525390625
140,relu,adam,0.001,20,32,0.2,827.64208984375
140,relu,adam,0.01,20,32,0.2,788.53515625
140,relu,adam,0.1,20,32,0.2,769.7353515625
160,identity,sgd,0.001,20,32,0.2,773.29931640625
160,identity,sgd,0.01,20,32,0.2,777.51220703125
160,identity,sgd,0.1,20,32,0.2,708.94384765625
160,identity,adam,0.001,20,32,0.2,782.210205078125
160,identity,adam,0.01,20,32,0.2,768.05810546875
160,identity,adam,0.1,20,32,0.2,785.759033203125
160,sigmoid,sgd,0.001,20,32,0.2,764.312744140625
160,sigmoid,sgd,0.01,20,32,0.2,711.18115234375
160,sigmoid,sgd,0.1,20,32,0.2,726.03955078125
160,sigmoid,adam,0.001,20,32,0.2,804.873046875
160,sigmoid,adam,0.01,20,32,0.2,785.8876953125
160,sigmoid,adam,0.1,20,32,0.2,778.15283203125
160,tanh,sgd,0.001,20,32,0.2,898.459716796875
160,tanh,sgd,0.01,20,32,0.2,707.781982421875
160,tanh,sgd,0.1,20,32,0.2,703.115966796875
160,tanh,adam,0.001,20,32,0.2,803.665283203125
160,tanh,adam,0.01,20,32,0.2,825.87060546875
160,tanh,adam,0.1,20,32,0.2,845.41162109375
160,relu,sgd,0.001,20,32,0.2,746.012451171875
160,relu,sgd,0.01,20,32,0.2,734.23876953125
160,relu,sgd,0.1,20,32,0.2,754.57470703125
160,relu,adam,0.001,20,32,0.2,833.1865234375
160,relu,adam,0.01,20,32,0.2,834.04248046875
160,relu,adam,0.1,20,32,0.2,782.1328125
180,identity,sgd,0.001,20,32,0.2,857.4736328125
180,identity,sgd,0.01,20,32,0.2,700.234130859375
180,identity,sgd,0.1,20,32,0.2,750.776611328125
180,identity,adam,0.001,20,32,0.2,1350.936279296875
180,identity,adam,0.01,20,32,0.2,925.16650390625
180,identity,adam,0.1,20,32,0.2,914.35400390625
180,sigmoid,sgd,0.001,20,32,0.2,712.314697265625
180,sigmoid,sgd,0.01,20,32,0.2,712.046142578125
180,sigmoid,sgd,0.1,20,32,0.2,704.522216796875
180,sigmoid,adam,0.001,20,32,0.2,792.618896484375
180,sigmoid,adam,0.01,20,32,0.2,800.339111328125
180,sigmoid,adam,0.1,20,32,0.2,918.671630859375
180,tanh,sgd,0.001,20,32,0.2,832.094482421875
180,tanh,sgd,0.01,20,32,0.2,735.658203125
180,tanh,sgd,0.1,20,32,0.2,1246.513427734375
180,tanh,adam,0.001,20,32,0.2,1045.4248046875
180,tanh,adam,0.01,20,32,0.2,802.2666015625
180,tanh,adam,0.1,20,32,0.2,890.801025390625
180,relu,sgd,0.001,20,32,0.2,723.6064453125
180,relu,sgd,0.01,20,32,0.2,729.451171875
180,relu,sgd,0.1,20,32,0.2,831.8232421875
180,relu,adam,0.001,20,32,0.2,829.212890625
180,relu,adam,0.01,20,32,0.2,813.475830078125
180,relu,adam,0.1,20,32,0.2,812.23486328125
